Conference,Year,Authors,Item Title,Item DOI,URL,MSR,SA,Pilot,RQ1: Reasons,RQ1: Study type,RQ1: Activities,RQ2: Data sources,RQ3: Techniques,RQ4: Information type
2021 IEEE 18th International Conference on [::Software::] [::Architecture::] (ICSA),2021,M. Soliman; M. Wiese; Y. Li; M. Riebisch; P. Avgeriou,Exploring Web Search Engines to Find Architectural Knowledge,10.1109/ICSA51549.2021.00023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426740,Yes,Yes,No,[AK is in multiple sources][Save_manual_efforts][Tools_used_Developers],[Exploratory],[architectural_synthesis],[Web],[machine_learning][information retrieval],[architectural_decisions_And_Rationale]
2021 IEEE 18th International Conference on [::Software::] [::Architecture::] (ICSA),2021,Z. T. Sinkala; S. Herold,InMap: Automated Interactive Code-to-Architecture Mapping Recommendations,10.1109/ICSA51549.2021.00024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426755,Yes,Yes,No,[Achieve_quality_attributes][Identify_and_resolve_issues_in_existing_system][Save_manual_efforts][Industrial_financial_costs][Conformance_check],[Evaluate_approach],Not mentioned,[source code repository],[information retrieval],[architectural_components]
2021 IEEE 18th International Conference on [::Software::] [::Architecture::] (ICSA),2021,A. Shokri; J. C. S. Santos; M. Mirakhorli,ArCode: Facilitating the Use of Application Frameworks to Implement Tactics and Patterns,10.1109/ICSA51549.2021.00021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426773,Yes,Yes,No,[Support_architectural_program_comprehension][Achieve_quality_attributes],[Evaluate_approach],[architectural_analysis][architectural_synthesis],[source code repository],[code_analysis][model_analysis],[architectural_solutions]
2021 IEEE 18th International Conference on [::Software::] [::Architecture::] (ICSA),2021,D. M. Le; S. Karthik; M. S. Laser; N. Medvidovic,Architectural Decay as Predictor of Issue- and Change-Proneness,10.1109/ICSA51549.2021.00017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426752,Yes,Yes,No,[Identify_and_resolve_issues_in_existing_system][Achieve_quality_attributes][Industrial_financial_costs],[Evaluate_approach],[architectural_analysis][architectural_evaluation],[source code repository][issues_tracking],[model_analysis][machine_learning],[Correlations][architectural_quality_issues]
2021 IEEE 18th International Conference on [::Software::] [::Architecture::] (ICSA),2021,J. Garcia; M. Mirakhorli; L. Xiao; Y. Zhao; I. Mujhid; K. Pham; A. Okutan; S. Malek; R. Kazman; Y. Cai; N. Medvidovié?,Constructing a Shared Infrastructure for Software Architecture Analysis and Maintenance,10.1109/ICSA51549.2021.00022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426737,Yes,Yes,No,[Tools_used_Developers][Save_manual_efforts][Industrial_financial_costs],[Evaluate_approach],[architectural_analysis],[runtime_performance],[multiple],[list_of_existing_tools_techniques]
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
